,Unnamed: 0,file,smiles
122,975,20208883,[O-][N+](=O)C=1C=2C(C(=C([N+]([O-])=O)C1[H])[H])=C(C(=C(C2[H])[H])[H])[H]
123,976,10021987,C1(C(C(C(C(C1=C(Cl)[H])([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])=O
126,994,20176206,O1C2(C(=C(C1(C(=C2[H])[H])[H])C#N)[H])[H]
127,1016,10008492,C(Br)(C(=C(C(O[H])=O)[H])O[H])([H])[H]
133,1078,20200633,S(O[H])(=O)(=O)C1=C(OC([H])([H])[H])C(=C(C(N([H])[H])=C1[H])[H])[H]
137,1108,20103724,C=1(C(=C(C(=C(C1C(C(C=2C(=C(C(=C(C2[H])O[H])C([H])([H])[H])OC3(C(C(C(C(O3)(C(O[H])([H])[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])[H])[H])([H])[H])([H])[H])[H])[H])OC([H])([H])[H])[H])[H]
146,1193,20201439,O1C(C(C(C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(C(C(C(C1=O)([H])[H])([H])[H])([H])[H])[H]
148,1210,10024358,C=1(C(=C(C(=C(C1[H])Br)[H])[H])[H])Cl
162,1345,10018386,C1(=C(C(=C(C2=C1C(C(C(C2([H])[H])([H])[H])([H])[H])(C([H])([H])[H])[H])[H])[H])[H])[H]
168,1378,20209377,S=C=NC12C(C3(C(C(C1([H])[H])(C(C(C2([H])[H])(C3([H])[H])[H])([H])[H])[H])([H])[H])[H])([H])[H]
170,1395,20123551,C(C1=C(C([N+]([O-])=O)=C([N+](=O)[O-])C(=C1[H])[H])[H])([H])([H])[H]
172,1416,20198924,N12C(C(N([H])[H])(C(C(C1([H])[H])([H])[H])(C(C2([H])[H])([H])[H])[H])[H])([H])[H]
173,1429,10021964,C12(C(C(C(=C1[H])C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])([H])[H])(C(C(C2([H])[H])([H])[H])([H])[H])[H])[H]
174,1440,10022043,C1(=C(C(=C(C(=C1[H])[H])C#CC2=C(C(=C(C(=C2[H])[H])C#N)[H])[H])[H])[H])N([H])[H]
175,1443,20202075,N(N([H])[H])(C1=NN=C(C=2C1=C(C(=C(C2[H])[H])[H])[H])[H])[H]
177,1458,10022756,C1(=C(C(=C(C(=C1[H])C(=C(C2=C(C(=C(N=C2[H])[H])[H])[H])[H])[H])[H])[H])C(=C(C=3C(=NC(=C(C3[H])[H])[H])[H])[H])[H])[H]
178,1469,20208429,O1C(C(=O)C(=C1C([H])([H])[H])[H])(C([H])([H])[H])[H]
184,1532,10021688,C1(=C(C(=C(N2C1=C(C(=C2[H])C3=C(C(=C(C(=C3[H])[H])[H])[H])[H])[H])[H])[H])[H])[H]
189,1607,20096907,C(=C(C(OC(=O)C([H])([H])[H])([H])[H])[H])([H])[H]
191,1621,20209306,ClC1=C(OC(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])C(=C(C(OC(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])=C1[H])[H])[H]
196,1654,20096475,C1(=C(C(=C(C(=C1Cl)[H])C2=C(C(=C(C(=C2Cl)Cl)[H])[H])Cl)Cl)[H])[H]
198,1656,20209047,ClC(Cl)(C(=O)N(C(C(=C([H])[H])[H])([H])[H])C(C(=C([H])[H])[H])([H])[H])[H]
201,1722,20202091,N#CC(=C(C(C([H])([H])[H])([H])[H])[H])[H]
206,1751,20209078,ClC(C1(OC(OC1([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])([H])[H]
208,1767,20209226,ClC=1C(=C(C(C#N)([H])[H])C(=C(C1[H])[H])[H])[H]
217,1856,10023988,C1(=C(C(=C(C2=C1C3=C(C(=N2)[H])C(=C(C(=C3[H])[H])[H])[H])[H])[H])[H])[H]
221,1910,20209436,ClC(Cl)(Cl)C(OC(C(OC(C([H])([H])[H])([H])[H])([H])[H])([H])[H])=O
223,1917,20101842,C1(C2(C(C3(C4(C15C(=C(C(C5([H])[H])([H])[H])C(C(O[H])([H])[H])([H])[H])C(C(C(C4(C(N3C(C2(C([H])([H])[H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])=O)C([H])([H])[H])[H])([H])[H])[H])=O
224,1949,20209299,BrC=1C(=C(C(=C(C1F)[H])[H])C(=O)C([H])([H])[H])[H]
228,1972,20183001,N(C(C(N(C(C([O-])=O)([H])[H])C(C(O[H])=O)([H])[H])([H])[H])([H])[H])(C(C(=O)O[H])([H])[H])C(C(=O)[O-])([H])[H].[Na+].[Na+]
237,2024,20209661,O(C(C([H])([H])[H])([H])[H])C(=O)C(N([N+]([H])([H])[H])[H])([H])[H]
244,2092,20180940,C(=O)(Cl)OC(C(Cl)(Cl)Cl)([H])[H]
246,2097,88202,C1(=C(C(=C(C(=C1[N+](=O)[O-])[H])[H])[H])I)[H]
248,2102,10023292,C1(=C(C(=C(C2=C1C(=C(C(=[N+]2[O-])[H])[H])[H])[H])[H])[N+](=O)[O-])[H]
251,2134,20207586,ClC=1C(=C(C(=C(C1[H])[H])[H])[H])C(OC(=C([H])[H])[H])=O
252,2147,20097940,C1(=C(C(=C2C(=C3C(=C(C2=C1[H])[H])C4=C(C(=C(C(=C4O3)[H])[H])[H])[H])[H])[H])[H])[H]
253,2160,9665,C1(C(=C(C(C(=C1[H])[H])([H])[H])[H])[H])([H])[H]
254,2165,20116834,C1(C(C(C2(C1(C(OC(=C2C(=O)O[H])[H])(OC3(OC(C(C(C3(O[H])[H])(O[H])[H])(O[H])[H])(C(OC(C([H])([H])[H])=O)([H])[H])[H])[H])[H])[H])[H])([H])[H])(O[H])[H])(C([H])([H])[H])[H]
255,2168,10016726,C(C(OC([H])([H])[H])(C([H])([H])[H])OC([H])([H])[H])([H])([H])[H]
257,2181,20206195,IC(C(Cl)([H])[H])([H])[H]
258,2182,20209819,BrC(C1=C(F)C(=C(F)C(=C1[H])[H])[H])([H])[H]
261,2244,20033052,C=1(C(=C(C(=C(C1OC([H])([H])[H])[H])OC([H])([H])[H])[H])[H])C(=O)[H]
262,2245,19872,C(S(=O)C(SC([H])([H])[H])([H])[H])([H])([H])[H]
263,2262,10021626,C(C(=O)C1=C(C(=C(C(=C1[H])[H])C2=C(C(=C(C(=C2[H])[H])C3=NN=C(C4=C(C(=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(=C4[H])[H])[H])[H])O3)[H])[H])[H])[H])([H])([H])[H]
264,2263,40247143,C1(C(C(C(OC1(C(O[H])([H])[H])[H])(OC(C2(OC(C(C(C2(O[H])[H])(O[H])[H])(O[H])[H])(OC3(C(C(C(O3)(C(O[H])([H])[H])[H])(O[H])[H])(O[H])[H])C(O[H])([H])[H])[H])[H])([H])[H])[H])(O[H])[H])(O[H])[H])(O[H])[H]
267,2297,20208418,FC1=C(C(=C(C(F)=C1[H])[H])[H])C#N
269,2303,20209526,O(C(=O)C(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])(C(C([H])([H])[H])([H])[H])[H])C(C([H])([H])[H])([H])[H]
274,2358,20989,C=1(C(=C(C(=C(C1[H])[N+](=O)[O-])[H])[N+](=O)[O-])[H])C#N
275,2359,20208233,ClC=1N=C(C(=C(C1[N+]([O-])=O)[H])C([H])([H])[H])[H]
277,2365,10021794,C1(=C(C(=C2C(=C1[H])OC(C(OC(C(OC(C(OC(C(OC=3C(C(=C2[H])[H])=C(C(=C(C3[H])C(=O)[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])C(=O)[H]
286,2492,10020270,C([Si](C([H])([H])[H])(C([H])([H])[H])C#C[Sn](C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])(C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])C(C(C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H]
289,2534,20209132,O(C1=C(C(C(C([H])([H])[H])([H])[H])(C([H])([H])[H])[H])C(=C([N+]([O-])=O)C(=C1[N+]([O-])=O)[H])[H])C(=O)C(=C(C([H])([H])[H])C([H])([H])[H])[H]
291,2553,30096610,C1(=C(C(=C(C(=C1C(=O)[H])[H])Cl)Cl)[H])[H]
293,2588,10021853,C1(=C(C(=C(C2=C1C(=C(N2C(C3=C(C(=C(C(=C3[H])[H])OC([H])([H])[H])[H])[H])([H])[H])[H])[H])[H])[H])[H])[H]
296,2610,20991,C=1(C(=C(C(=C(C1C#N)C#N)O[H])[H])[H])O[H]
298,2631,20209440,BrC1=C(C(=C(OC([H])([H])[H])C(=C1[H])[H])C([H])([H])[H])[H]
299,2635,60004198,C(C1(C([H])([H])[H])C(C(C(C2(C1(C(C(=C(C([H])([H])[H])C2(C(C(C(C([H])([H])[H])=C(C(O[H])([H])[H])[H])([H])[H])([H])[H])[H])[H])([H])[H])[H])C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H]
301,2647,20208525,ClC(=O)C=1C(F)=C(C(=C(C1[H])[H])[H])[H]
302,2651,20208369,BrC1=C(OC([H])([H])[H])C(=C(C(=C1[H])C#N)[H])[H]
304,2657,20169074,C=1(C(=C(C(=C([N+]1C([H])([H])[H])[H])C#N)[H])C(C([H])([H])[H])([H])[H])[H]
306,2670,20208169,FC(F)(F)C=1C(=C(C(C(=O)C([H])([H])[H])([H])[H])C(=C(C1[H])[H])[H])[H]
311,2697,20208867,ClC1=C(F)C(=C(C(=C1[H])[H])C(=O)[H])[H]
317,2766,10021840,C1(=C(C(=C(C(=C1[H])[H])C(=C(C2=C(C(=C(C(=C2[H])[H])N(C([H])([H])[H])C([H])([H])[H])[H])[H])[H])[H])[N+]([O-])=O)[H])C(=O)O[H]
324,2817,20027570,C1(OC(C1([H])[H])=O)(C([H])([H])[H])[H]
327,2827,20207495,BrC=1C(=C(C(=C(C1Cl)[H])[H])C(F)(F)F)[H]
336,2921,20200697,ClC1=C(C=2C(=C(SC2C(=C1[H])[H])C(=O)C([H])([H])[H])C([H])([H])[H])[H]
337,2922,20208341,BrC1=C(C(=C(Cl)C(=C1[H])[H])C([H])([H])[H])[H]
338,2925,20171902,O1C(C(N(C=2C(C(C2OC(C([H])([H])[H])([H])[H])=S)=O)C(C1([H])[H])([H])[H])([H])[H])([H])[H]
