,Unnamed: 0,id,SMILES_x,SMILES_y,smiles
17216,17216,39964,[H]OC([H])(C([H])([H])Cl)C([H])([H])S(=O)(=O)[O-],[H]OC([H])(C([H])([H])Cl)C([H])([H])S(=O)(=O)[O-],[H]OC([H])(C([H])([H])Cl)C([H])([H])S(=O)(=O)[O-]
17217,17217,39965,[H]c1c([H])c(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c(Cl)c([H])c1OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],[H]c1c([H])c(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c(Cl)c([H])c1OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],[H]c1c([H])c(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c(Cl)c([H])c1OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
17218,17218,39968,[H]C(=NN([H])c1c([H])c([H])c([N+](=O)[O-])c([H])c1[N+](=O)[O-])C([H])=C([H])[H],[H]C(=NN([H])c1c([H])c([H])c([N+](=O)[O-])c([H])c1[N+](=O)[O-])C([H])=C([H])[H],[H]C(=NN([H])c1c([H])c([H])c([N+](=O)[O-])c([H])c1[N+](=O)[O-])C([H])=C([H])[H]
17219,17219,39971,[H]c1oc(C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H],[H]c1oc(C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H],[H]c1oc(C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H]
17220,17220,39974,[H]OC1(C([H])([H])[H])C([H])([H])C([H])([H])C2([H])C3([H])C([H])([H])C([H])([H])C4([H])C([H])([H])C(=O)OC([H])([H])C4(C([H])([H])[H])C3([H])C([H])([H])C([H])([H])C21C([H])([H])[H],[H]OC1(C([H])([H])[H])C([H])([H])C([H])([H])C2([H])C3([H])C([H])([H])C([H])([H])C4([H])C([H])([H])C(=O)OC([H])([H])C4(C([H])([H])[H])C3([H])C([H])([H])C([H])([H])C21C([H])([H])[H],[H]OC1(C([H])([H])[H])C([H])([H])C([H])([H])C2([H])C3([H])C([H])([H])C([H])([H])C4([H])C([H])([H])C(=O)OC([H])([H])C4(C([H])([H])[H])C3([H])C([H])([H])C([H])([H])C21C([H])([H])[H]
17221,17221,39975,[H]c1c([H])c(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(C#N)c1C#N,[H]c1c([H])c(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(C#N)c1C#N,[H]c1c([H])c(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c(C#N)c1C#N
17222,17222,39976,[H]C([H])(C#N)C(=O)OC([H])([H])C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],[H]C([H])(C#N)C(=O)OC([H])([H])C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],[H]C([H])(C#N)C(=O)OC([H])([H])C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
17223,17223,39980,[H]C([H])=C([H])C([H])([H])SC(=S)N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H],[H]C([H])=C([H])C([H])([H])SC(=S)N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H],[H]C([H])=C([H])C([H])([H])SC(=S)N1C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
17224,17224,39984,[H]c1c([H])c(N=C=S)c([H])c(C([H])([H])[H])c1[H],[H]c1c([H])c(N=C=S)c([H])c(C([H])([H])[H])c1[H],[H]c1c([H])c(N=C=S)c([H])c(C([H])([H])[H])c1[H]
17225,17225,39985,[H]C(=O)c1c([H])c([H])c([H])c(Oc2c([H])c([H])c([H])c(C(F)(F)F)c2[H])c1[H],[H]C(=O)c1c([H])c([H])c([H])c(Oc2c([H])c([H])c([H])c(C(F)(F)F)c2[H])c1[H],[H]C(=O)c1c([H])c([H])c([H])c(Oc2c([H])c([H])c([H])c(C(F)(F)F)c2[H])c1[H]
17226,17226,39986,[H]c1c([H])c(C(=O)Cl)c([H])c(S(=O)(=O)F)c1[H],[H]c1c([H])c(C(=O)Cl)c([H])c(S(=O)(=O)F)c1[H],[H]c1c([H])c(C(=O)Cl)c([H])c(S(=O)(=O)F)c1[H]
17227,17227,39988,[H]C([H])([H])C([H])(C12C([H])([H])C3([H])C([H])([H])C([H])(C([H])([H])C([H])(C3([H])[H])C1([H])[H])C2([H])[H])[N+]([H])([H])[H],[H]C([H])([H])C([H])(C12C([H])([H])C3([H])C([H])([H])C([H])(C([H])([H])C([H])(C3([H])[H])C1([H])[H])C2([H])[H])[N+]([H])([H])[H],[H]C([H])([H])C([H])(C12C([H])([H])C3([H])C([H])([H])C([H])(C([H])([H])C([H])(C3([H])[H])C1([H])[H])C2([H])[H])[N+]([H])([H])[H]
17228,17228,39989,[H]N(C(=O)C([H])([H])[H])c1nnc(S(=O)(=O)N([H])[H])s1,[H]N(C(=O)C([H])([H])[H])c1nnc(S(=O)(=O)N([H])[H])s1,[H]N(C(=O)C([H])([H])[H])c1nnc(S(=O)(=O)N([H])[H])s1
17229,17229,39994,[H]C([H])([H])C#CC(=O)OC([H])([H])[H],[H]C([H])([H])C#CC(=O)OC([H])([H])[H],[H]C([H])([H])C#CC(=O)OC([H])([H])[H]
17231,17231,39996,[H]c1c([H])c([H])c2c([H])c(C(=O)C([H])([H])[H])sc2c1[H],[H]c1c([H])c([H])c2c([H])c(C(=O)C([H])([H])[H])sc2c1[H],[H]c1c([H])c([H])c2c([H])c(C(=O)C([H])([H])[H])sc2c1[H]
17232,17232,40001,[H]C([H])=C([H])C([H])([H])OC(=O)OC([H])([H])[H],[H]C([H])=C([H])C([H])([H])OC(=O)OC([H])([H])[H],[H]C([H])=C([H])C([H])([H])OC(=O)OC([H])([H])[H]
17233,17233,40002,[H]c1c([H])c(Cl)c([H])c(F)c1F,[H]c1c([H])c(Cl)c([H])c(F)c1F,[H]c1c([H])c(Cl)c([H])c(F)c1F
17234,17234,40004,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])[H])c(N([H])[H])c1[H],[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])[H])c(N([H])[H])c1[H],[H]c1c([H])c([H])c(C([H])([H])C([H])([H])C([H])([H])[H])c(N([H])[H])c1[H]
17235,17235,40008,[H]C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])C1([H])[H],[H]C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])C1([H])[H],[H]C([H])([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])(C(=O)OC([H])([H])C([H])([H])[H])C1([H])[H]
17236,17236,40010,[H]N1C(=O)C([H])([H])C(C([H])([H])[H])(C([H])([H])C([H])([H])C([H])([H])[H])C1=O,[H]N1C(=O)C([H])([H])C(C([H])([H])[H])(C([H])([H])C([H])([H])C([H])([H])[H])C1=O,[H]N1C(=O)C([H])([H])C(C([H])([H])[H])(C([H])([H])C([H])([H])C([H])([H])[H])C1=O
