,Unnamed: 0.1,Unnamed: 0,id,SMILES_x,SMILES_y,smiles
14005,15566,15566,36259,[H]OC12OC([H])([H])C3(C([H])([H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C3([H])C1([H])OC(=O)C([H])([H])[H])C1([H])C3([H])OC3([H])C3([H])C(=C([H])[H])C([H])(OC(=O)C([H])([H])[H])C21C3([H])[H],,[H]OC12OC([H])([H])C3(C([H])([H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C3([H])C1([H])OC(=O)C([H])([H])[H])C1([H])C3([H])OC3([H])C3([H])C(=C([H])[H])C([H])(OC(=O)C([H])([H])[H])C21C3([H])[H]
14006,15567,15567,36283,[H]C([H])=C(C(=O)OC([H])([H])[H])N1C(=O)C([H])([H])C([H])(C([H])([H])[H])C1=O,,[H]C([H])=C(C(=O)OC([H])([H])[H])N1C(=O)C([H])([H])C([H])(C([H])([H])[H])C1=O
14007,15572,15572,36300,[H]c1c([H])c([H])c2c(c1[H])C(=O)C(=C1C(=O)c3c([H])c([H])c([H])c([H])c3N1[H])N2[H],,[H]c1c([H])c([H])c2c(c1[H])C(=O)C(=C1C(=O)c3c([H])c([H])c([H])c([H])c3N1[H])N2[H]
14008,15573,15573,36301,[H]c1nc2c(c(=O)n([H])c(=O)n2C([H])([H])[H])n1C([H])([H])[H],,[H]c1nc2c(c(=O)n([H])c(=O)n2C([H])([H])[H])n1C([H])([H])[H]
14009,15574,15574,36302,[H]OC([H])([H])c1c([H])c(OC([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c(OC([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c1[H],,[H]OC([H])([H])c1c([H])c(OC([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c(OC([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c1[H]
14010,15575,15575,36303,[H]c1c([H])c2c(c([H])c1F)C(=O)C(=O)N2[H],,[H]c1c([H])c2c(c([H])c1F)C(=O)C(=O)N2[H]
14011,15576,15576,36304,[H]C1=C(F)C2([H])OC2([H])C2([H])OC12[H],,[H]C1=C(F)C2([H])OC2([H])C2([H])OC12[H]
14012,15577,15577,36306,[H]c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1C(=O)C([H])([H])[H],,[H]c1c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1C(=O)C([H])([H])[H]
14013,15578,15578,36308,[H]c1nnc2c(c1[H])-c1no[n+]([O-])c1C([H])([H])C2([H])[H],,[H]c1nnc2c(c1[H])-c1no[n+]([O-])c1C([H])([H])C2([H])[H]
14014,15579,15579,36309,[H]C#CC([H])([H])OS(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],,[H]C#CC([H])([H])OS(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
