,file,smiles
62,20182068,C1(OC(C2=C1C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])=O)(O[H])C([H])([H])[H]
66,20182710,C=1(C2=C(C(=C(C1[H])O[H])[H])C3=C(C(=NC(=C3[H])[H])C(=O)OC([H])([H])[H])N2[H])[H]
67,10024863,C1(=C(C(=C(C(=C1[H])[H])Cl)[H])[H])C(OC(=O)C([H])([H])[H])(C(C(=C([H])[H])[H])([H])[H])[H]
68,88883,C12=C(C3=C(C(=C(C(=C3[H])[H])[H])[H])N1[H])C(=C(N=C2C(C(C(O[H])([H])[H])(C([H])([H])[H])[H])([H])[H])[H])[H]
74,20230173,C=12C3=C(OC(C1C(=NC(=C2[H])C([H])([H])[H])[H])([H])[H])C(=C(C(=C3[H])[H])[H])C([H])([H])[H]
76,20142298,C1(C(C(SC(N1[H])(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])[H])([H])[H])(C(C([H])([H])[H])=O)[H])([H])[H]
78,20052498,C1=2N=C(C(=C(C1=NC3(N2)C(C(C(C(C3([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])N4C(C(C(C(C4([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])N5C(=C(N=C5[H])[H])[H]
79,20208562,S1C(=C(C(=C1[H])[H])C([H])([H])[H])C(O[H])=O
80,77195,C1(OC1(C(C(Cl)(Cl)Cl)([H])[H])[H])([H])[H]
81,20045308,C1(=C(C(=C(C(=C1[H])F)[H])O[H])[N+]([O-])=O)[H]
82,20025878,C1(N(C(N(C2=C1C(=NN2[H])[H])C([H])([H])[H])=O)[H])=O
84,30001200,C(B(C([H])([H])[H])C([H])([H])[H])#C[H]
85,20133651,C1(C(C2(C(C3(C1(O[H])[H])C(O2)(C(OC3=O)=C([H])[H])[H])(C([H])([H])[H])[H])[H])([H])[H])(O[H])[H]
87,20234075,C1(C2=C(C(=C(C(=C2[H])[H])[H])[H])[H])=C(C(C1([H])[H])=C(C([H])([H])[H])C([H])([H])[H])[H]
88,20036243,C1(C(C(C(N1C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])(O[H])[H])([H])[H]
90,30000608,C(C(S(=O)O[H])([H])[H])([H])([H])[H]
