Original_SMILES,Canonical_SMILES,Source_Dataset,Source_ID
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,hsqc,09006.csv
C1CSSC1CCCCC(=O)N,NC(=O)CCCCC1CCSS1,hsqc,35052.csv
C(CC(=O)N)[C@@H](C(=O)O)N,NC(=O)CC[C@H](N)C(=O)O,hsqc,09392.csv
C(CO)NC(=O)N,NC(=O)NCCO,hsqc,31473.csv
C1CCC(C1)(C(=O)O)N,NC1(C(=O)O)CCCC1,hsqc,31922.csv
C1CC(CCC1N)O,NC1CCC(O)CC1,hsqc,31001.csv
C1CCC(CC1)N,NC1CCCCC1,hsqc,35244.csv
C1CCC(C(C1)N)O,NC1CCCCC1O,hsqc,32830.csv
C(C(=O)NCC(=O)O)N,NCC(=O)NCC(=O)O,hsqc,09505.csv
C(CC(=O)N)[C@@H](C(=O)O)NC(=O)CN,NCC(=O)N[C@@H](CCC(N)=O)C(=O)O,hsqc,09398.csv
C(C(CN)O)C(=O)O,NCC(O)CC(=O)O,hsqc,31197.csv
C(CN)C(=O)O,NCCC(=O)O,hsqc,09370.csv
C(CO)[C@@H](C(=O)O)N,N[C@@H](CCO)C(=O)O,hsqc,09535.csv
C1[C@H](C(=O)NO1)N,N[C@@H]1CONC1=O,hsqc,09466.csv
C([C@H]([C@@H]([C@@H](C(=O)CO)O)O)O)O,O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)CO,hsqc,09200.csv
C1CC(CCC1C(=O)O)C(=O)O,O=C(O)C1CCC(C(=O)O)CC1,hsqc,35093.csv
C1CC(C1)C(=O)O,O=C(O)C1CCC1,hsqc,32949.csv
C(C(C(=O)O)S)C(=O)O,O=C(O)CC(S)C(=O)O,hsqc,32566.csv
C(CC(=O)O)C(=O)C(=O)O,O=C(O)CCC(=O)C(=O)O,hsqc,33296.csv
C1CSSC1CCCCC(=O)O,O=C(O)CCCCC1CCSS1,hsqc,09874.csv
C(CSCCC(=O)O)C(=O)O,O=C(O)CCSCCC(=O)O,hsqc,34257.csv
